,sepal_length,sepal_width,petal_length,petal_width,species,prob
0,5.5,2.5,4.0,1.3,versicolor,0.9060737825148165
1,6.9,3.1,5.1,2.3,virginica,0.9502198040628912
2,5.1,2.5,3.0,1.1,versicolor,0.8136272153390266
3,4.4,2.9,,0.2,setosa,0.8699431335278054
4,5.9,3.0,5.1,1.8,virginica,0.6748792906775416
5,5.5,3.5,1.3,0.2,setosa,0.991351036424967
6,5.6,,3.6,1.3,versicolor,0.7829180313011507
7,6.5,3.0,5.2,2.0,virginica,0.8687161052257015
8,5.3,3.7,1.5,0.2,setosa,0.9966758826885999
9,5.1,3.4,1.5,,setosa,0.9588127932180969
10,6.1,2.8,4.0,1.3,versicolor,0.9100589283711172
11,5.5,2.4,3.7,1.0,versicolor,0.9407974438391833
12,7.7,3.0,6.1,2.3,virginica,0.9929788426300302
13,6.9,3.1,4.9,1.5,versicolor,0.6799251329331742
14,6.0,2.2,5.0,1.5,virginica,0.5822815449008996
